transcript_id,cov,fpkm,tpm
STRG.190.1,668.874878,134.140121,87.343941
STRG.191.1,30.972866,6.211481,4.044541
STRG.191.2,5.077749,1.018322,0.66307
STRG.192.1,1.0,0.200546,0.130583
STRG.193.1,1.697783,0.340483,0.221702
STRG.194.1,13.859464,2.779459,1.809816
STRG.195.1,6.389444,1.281377,0.834355
STRG.196.1,2.601863,0.521793,0.33976
STRG.197.1,67.113991,13.459435,8.763971
STRG.198.1,1.723781,0.345697,0.225097
STRG.199.1,2.44775,0.490886,0.319635
STRG.200.1,3.934463,0.78904,0.513775
STRG.201.1,18.395132,3.689068,2.402098
STRG.202.1,2.586923,0.518797,0.337809
STRG.203.1,2.0,0.401092,0.261167
STRG.204.1,2.566434,0.514688,0.335134
STRG.205.1,1.0,0.200546,0.130583
STRG.206.1,19.466406,3.903908,2.541989
STRG.207.1,7.580561,1.52025,0.989895
STRG.208.1,63.01852,12.638105,8.229171
STRG.209.1,1.0,0.200546,0.130583
STRG.210.1,2.900771,0.581738,0.378792
STRG.211.1,3.242834,0.650337,0.42346
STRG.211.2,3.030792,0.607813,0.395771
STRG.211.3,1.339713,0.268674,0.174944
STRG.212.1,1.31931,0.264582,0.17228
STRG.213.1,369.377899,74.077225,48.234612
STRG.214.1,28.411602,5.69783,3.710083
STRG.215.1,2.290286,0.459307,0.299073
STRG.215.2,1.372328,0.275215,0.179203
STRG.216.1,1.0,0.200546,0.130583
STRG.217.1,4.125567,0.827366,0.53873
STRG.218.1,1.894809,0.379996,0.247431
STRG.218.2,9.330607,1.871215,1.218422
STRG.219.1,1.393504,0.279462,0.181968
STRG.220.1,179.522064,36.002411,23.442596
STRG.221.1,11.456229,2.2975,1.495993
STRG.221.2,5.086988,1.020175,0.664276
STRG.222.1,1128.882935,226.392838,147.413345
STRG.222.2,10.932411,2.19245,1.427591
STRG.223.1,16.067513,3.222274,2.09815
STRG.223.2,11.480392,2.302346,1.499148
STRG.224.1,2.19861,0.440922,0.287102
STRG.225.1,1.170983,0.234836,0.152911
STRG.226.1,42.157501,8.454515,5.505069
STRG.226.2,11.571989,2.320715,1.511109
STRG.226.3,6.364496,1.276374,0.831097
STRG.226.4,1.005264,0.201602,0.131271
STRG.226.5,19.908762,3.99262,2.599753
STRG.227.1,1.511356,0.303096,0.197358
STRG.228.1,1.481517,0.297112,0.193461
STRG.229.1,1.695965,0.340119,0.221465
STRG.230.1,28.554737,5.726535,3.728774
STRG.230.2,6.809906,1.365699,0.889261
STRG.231.1,8.272259,1.658967,1.08022
STRG.231.2,1.650407,0.330982,0.215516
STRG.232.1,82.947052,16.634691,10.831507
STRG.233.1,1.957338,0.392536,0.255596
STRG.234.1,1.220399,0.244746,0.159364
STRG.235.1,1.282426,0.257185,0.167464
STRG.236.1,766.422058,153.702805,100.081978
STRG.237.1,15.822906,3.173219,2.066208
STRG.238.1,6.422366,1.287979,0.838654
STRG.239.1,106.566635,21.3715,13.915831
STRG.240.1,85.643883,17.175529,11.183667
STRG.240.2,2.249034,0.451035,0.293686
STRG.241.1,35.891296,7.197853,4.686807
STRG.241.2,29.087973,5.833474,3.798406
STRG.241.3,4.652381,0.933016,0.607524
STRG.242.1,114.560097,22.974558,14.959644
STRG.242.2,8.034718,1.61133,1.049201
STRG.243.1,4.32043,0.866444,0.564176
STRG.244.1,164.716156,33.03315,21.509192
STRG.245.1,179.080353,35.91383,23.384916
STRG.246.1,11.473384,2.30094,1.498233
STRG.246.2,10.409474,2.087577,1.359304
STRG.246.3,4.103654,0.822971,0.535869
STRG.246.4,4.090129,0.820259,0.534103
STRG.246.5,3.083208,0.618325,0.402616
STRG.247.1,2.849023,0.57136,0.372035
STRG.248.1,1.930748,0.387204,0.252124
STRG.249.1,6.470045,1.297541,0.84488
STRG.249.2,4.538418,0.910161,0.592642
STRG.249.3,17.40325,3.49015,2.272575
STRG.249.4,3.854344,0.772973,0.503313
STRG.249.5,3.303286,0.66246,0.431354
STRG.250.1,1.0,0.200546,0.130583
STRG.251.1,3.369661,0.675772,0.440022
STRG.252.1,45.284367,9.081594,5.913385
STRG.253.1,5.551969,1.113425,0.724995
STRG.254.1,48.511364,9.728755,6.334778
STRG.254.2,5.123568,1.027511,0.669053
STRG.254.3,1.508782,0.30258,0.197022
STRG.255.1,3.294486,0.660696,0.430205
STRG.256.1,156.137161,31.312666,20.388918
STRG.257.1,1.255768,0.251839,0.163982
STRG.258.1,7.250711,1.4541,0.946822
STRG.258.2,1.921908,0.385431,0.250969
STRG.258.3,1.705341,0.341999,0.222689
STRG.258.4,1.541195,0.30908,0.201254
STRG.258.5,1.064918,0.213565,0.139061
STRG.259.1,6.424936,1.288495,0.83899
STRG.259.2,1.148675,0.230362,0.149998
STRG.260.1,6.922255,1.38823,0.903931
STRG.260.2,21.833946,4.378708,2.85115
STRG.260.3,8.301942,1.66492,1.084096
STRG.261.1,11.023831,2.210784,1.439529
STRG.262.1,2.394241,0.480155,0.312648
STRG.263.1,413.844727,82.994865,54.041241
STRG.264.1,1.95,0.391064,0.254638
STRG.265.1,90.059639,18.06109,11.760292
STRG.265.2,1.02271,0.2051,0.133549
STRG.266.1,73.959076,14.83219,9.657825
STRG.267.1,1.30487,0.261686,0.170394
STRG.268.1,1.972477,0.395572,0.257573
STRG.269.1,11.44697,2.295643,1.494784
STRG.270.1,2.846284,0.570811,0.371677
STRG.271.1,1.165076,0.233651,0.15214
STRG.272.1,1.711429,0.34322,0.223484
STRG.271.2,940.162476,188.545731,122.769592
STRG.271.3,8.842524,1.773332,1.154687
STRG.273.1,6.836447,1.371021,0.892726
STRG.274.1,42210.960938,8465.234375,5512.049316
STRG.274.2,1099.028687,220.405701,143.514877
STRG.275.1,1.0,0.200546,0.130583
STRG.276.1,5.065848,1.015935,0.661516
STRG.276.2,3.172299,0.636192,0.41425
STRG.276.3,2.012219,0.403542,0.262762
STRG.277.1,1588.719604,318.611206,207.460373
STRG.278.1,9.26278,1.857613,1.209565
STRG.278.2,4.573881,0.917273,0.597273
STRG.279.1,5320.57666,1067.019897,694.778809
STRG.280.1,1001.488953,200.844498,130.777802
STRG.281.1,15.862067,3.181072,2.071322
STRG.281.2,49.465981,9.920199,6.459435
STRG.282.1,3.279299,0.65765,0.428222
STRG.283.1,1.0,0.200546,0.130583
STRG.284.1,8.113272,1.627083,1.059458
STRG.285.1,18.074917,3.62485,2.360284
